"x0:0","x0:1","d:0","d:1","Points:0","Points:1","Points:2"
0,0,2.4384e-20,1.2886e-20,0,0,0
0.001,0,-7.5441e-21,-1.1167e-21,0.001,0,0
0.001,0.05,7.5732e-11,-3.0867e-10,0.001,0.05,0
0,0.05,6.3941e-10,-1.7821e-10,0,0.05,0
0.00025,0,7.6297e-21,-6.6923e-21,0.00025,0,0
0.0005,0,4.6579e-21,-8.0205e-21,0.0005,0,0
0.00075,0,7.9296e-22,-6.6002e-21,0.00075,0,0
0.001,0.00025,-9.3967e-11,-3.2804e-11,0.001,0.00025,0
0.001,0.0005,-8.5359e-11,-5.1492e-11,0.001,0.0005,0
0.001,0.00075,-4.7783e-11,-4.8804e-11,0.001,0.00075,0
0.001,0.001,-2.6428e-11,-3.7176e-11,0.001,0.001,0
0.001,0.00125,-1.3907e-11,-2.4505e-11,0.001,0.00125,0
0.001,0.0015,-8.1935e-12,-1.4856e-11,0.001,0.0015,0
0.001,0.00175,-5.903e-12,-8.62e-12,0.001,0.00175,0
0.001,0.002,-4.9738e-12,-4.8784e-12,0.001,0.002,0
0.001,0.00225,-4.6678e-12,-2.4661e-12,0.001,0.00225,0
0.001,0.0025,-4.0941e-12,-5.8737e-13,0.001,0.0025,0
0.001,0.00275,3.7112e-13,-6.1122e-14,0.001,0.00275,0
0.001,0.003,-2.9314e-12,-7.0058e-13,0.001,0.003,0
0.001,0.00325,3.6765e-12,5.4199e-13,0.001,0.00325,0
0.001,0.0035,-5.0643e-12,7.9822e-13,0.001,0.0035,0
0.001,0.00375,-4.5462e-13,-2.1049e-12,0.001,0.00375,0
0.001,0.004,-8.444e-13,-3.4383e-13,0.001,0.004,0
0.001,0.00425,2.6259e-12,-1.468e-13,0.001,0.00425,0
0.001,0.0045,-3.7328e-12,-1.9629e-12,0.001,0.0045,0
0.001,0.00475,1.7513e-13,-2.1848e-12,0.001,0.00475,0
0.001,0.005,-9.1184e-13,-2.5386e-12,0.001,0.005,0
0.001,0.00525,-5.1333e-13,6.4351e-13,0.001,0.00525,0
0.001,0.0055,-7.3009e-12,1.8819e-12,0.001,0.0055,0
0.001,0.00575,2.2867e-12,-3.3003e-12,0.001,0.00575,0
0.001,0.006,-5.5715e-12,-1.445e-12,0.001,0.006,0
0.001,0.00625,6.2821e-13,-9.8823e-13,0.001,0.00625,0
0.001,0.0065,-3.6748e-12,4.64e-13,0.001,0.0065,0
0.001,0.00675,-1.103e-12,1.9802e-12,0.001,0.00675,0
0.001,0.007,1.291e-12,1.9467e-12,0.001,0.007,0
0.001,0.00725,-5.5436e-12,-1.6913e-12,0.001,0.00725,0
0.001,0.0075,3.7783e-12,-1.0191e-12,0.001,0.0075,0
0.001,0.00775,-2.6575e-12,2.8066e-13,0.001,0.00775,0
0.001,0.008,5.592e-13,-7.0287e-13,0.001,0.008,0
0.001,0.00825,-3.8145e-12,-6.9537e-13,0.001,0.00825,0
0.001,0.0085,-3.8122e-12,-1.1551e-13,0.001,0.0085,0
0.001,0.00875,-1.9122e-12,-2.7273e-13,0.001,0.00875,0
0.001,0.009,-4.8027e-13,1.5909e-12,0.001,0.009,0
0.001,0.00925,-6.1223e-12,1.4598e-12,0.001,0.00925,0
0.001,0.0095,6.0498e-14,-1.1302e-12,0.001,0.0095,0
0.001,0.00975,-9.543e-13,5.6182e-13,0.001,0.00975,0
0.001,0.01,2.3924e-12,6.2884e-13,0.001,0.01,0
0.001,0.01025,-5.1129e-12,-1.0852e-12,0.001,0.01025,0
0.001,0.0105,2.2168e-12,9.3978e-13,0.001,0.0105,0
0.001,0.01075,2.6588e-12,5.9444e-13,0.001,0.01075,0
0.001,0.011,-4.5899e-12,-8.0542e-13,0.001,0.011,0
0.001,0.01125,2.8042e-12,1.3005e-12,0.001,0.01125,0
0.001,0.0115,4.4498e-13,1.1363e-12,0.001,0.0115,0
0.001,0.01175,2.6355e-12,-1.9884e-13,0.001,0.01175,0
0.001,0.012,-5.4862e-12,-1.9183e-12,0.001,0.012,0
0.001,0.01225,3.0001e-12,9.013e-13,0.001,0.01225,0
0.001,0.0125,-4.8348e-14,3.1685e-12,0.001,0.0125,0
0.001,0.01275,1.3126e-12,-1.768e-12,0.001,0.01275,0
0.001,0.013,2.431e-12,-2.1204e-12,0.001,0.013,0
0.001,0.01325,-6.3169e-12,-6.8497e-13,0.001,0.01325,0
0.001,0.0135,3.881e-13,-5.9013e-13,0.001,0.0135,0
0.001,0.01375,-3.3234e-12,-1.8049e-13,0.001,0.01375,0
0.001,0.014,-3.3951e-12,4.1708e-13,0.001,0.014,0
0.001,0.01425,-1.6685e-12,1.3021e-13,0.001,0.01425,0
0.001,0.0145,-3.0979e-13,1.8802e-12,0.001,0.0145,0
0.001,0.01475,-5.8746e-12,1.8381e-12,0.001,0.01475,0
0.001,0.015,1.2672e-12,-1.1525e-12,0.001,0.015,0
0.001,0.01525,-2.6944e-12,-1.8975e-12,0.001,0.01525,0
0.001,0.0155,-1.9892e-12,-1.8591e-12,0.001,0.0155,0
0.001,0.01575,-4.4449e-13,8.6725e-13,0.001,0.01575,0
0.001,0.016,-5.9965e-12,1.8026e-12,0.001,0.016,0
0.001,0.01625,1.1395e-12,-1.6854e-12,0.001,0.01625,0
0.001,0.0165,7.0299e-13,1.8678e-13,0.001,0.0165,0
0.001,0.01675,-4.4657e-12,1.2764e-12,0.001,0.01675,0
0.001,0.017,-2.4686e-13,-1.7486e-12,0.001,0.017,0
0.001,0.01725,-7.3278e-13,-9.4397e-14,0.001,0.01725,0
0.001,0.0175,2.6767e-12,5.1005e-14,0.001,0.0175,0
0.001,0.01775,-3.596e-12,-1.6425e-12,0.001,0.01775,0
0.001,0.018,-5.5869e-14,-1.3435e-12,0.001,0.018,0
0.001,0.01825,-3.6862e-12,-1.058e-12,0.001,0.01825,0
0.001,0.0185,-4.1518e-12,-6.4519e-13,0.001,0.0185,0
0.001,0.01875,-4.2133e-12,-1.1404e-12,0.001,0.01875,0
0.001,0.019,-7.0441e-12,-1.6287e-12,0.001,0.019,0
